[ 0.14788389  0.02362205 -0.04954638  0.0633257 ]   [2.92292972 3.02748867 2.89957111 2.82375212]
[2.60692055 2.70394921 2.76781705 2.68066533]   [0.64373983 0.57899109 0.65933883 0.73279149]
[4.35964503 4.24145253 4.26276287 4.3790956 ]   [3.19873372 3.16025043 3.04318704 3.08675571]
[6.80057922 6.87631554 6.78099778 6.70962983]   [0.20313614 0.33936906 0.3952274  0.33349066]
[7.82930405 7.83352199 7.70381396 7.6940603 ]   [4.59905042 4.7254127  4.7339253  4.60586736]
[7.82941591 8.0006346  8.03110041 7.89567657]   [4.99859794 4.97637795 5.1023622  5.15222203]
[7.29918679 7.13249228 7.09731351 7.2240817 ]   [0.21747311 0.25731035 0.11553298 0.06922896]
[7.72235295 7.7349453  7.60858746 7.59852981]   [1.73106613 1.85585463 1.87053471 1.75062762]
[4.24152688 4.14646036 4.14094242 4.24532072]   [4.70442167 4.71309402 4.59337377 4.59462219]
[0.2163555  0.19549646 0.31911272 0.34820948]   [1.78145287 1.63060629 1.61623047 1.7234165 ]
[7.8257776  7.96258335 7.95564971 7.82930405]   [4.46863381 4.47244094 4.5984252  4.59905042]
[4.60060694 4.66907365 4.55987439 4.53837301]   [0.82085462 0.90498275 0.97198692 0.86975552]
[4.14398653 4.14094242 4.04293014 4.0357876 ]   [4.47370979 4.59337377 4.5984252  4.47244094]
[6.23762527 6.1580474  6.06659468 6.08107729]   [5.62205936 5.69592396 5.68411387 5.56376203]
[4.15025175 4.17620369 4.30230125 4.28150058]   [1.95124941 1.83149335 1.83189746 1.95387928]
[7.19838017 7.04240126 7.07225672 7.18570441]   [5.89434523 5.87753987 5.72115875 5.77249238]
[0.5908652  0.58692074 0.44914565 0.47376737]   [0.08983433 0.18747225 0.19112846 0.05374213]
[1.88478384 1.8389326  1.68660245 1.78840729]   [2.67219498 2.78837615 2.74320655 2.616879  ]
[4.43033017 4.46329083 4.57828426 4.56179207]   [5.94425584 5.84858823 5.84954511 5.99374145]
[3.88091565 3.92499875 4.04782367 4.01578646]   [5.35433071 5.22834646 5.24687496 5.37219088]
[7.99886447 7.88760083 7.96792217 8.10796516]   [5.97455294 5.88253103 5.7740732  5.85826772]
[4.31135524 4.27464335 4.18301524 4.17102157]   [5.90095091 6.0274958  6.01230783 5.92359044]
[7.49486395 7.59602873 7.62227408 7.4706644 ]   [-0.00237902  0.05298794  0.16169665  0.14378541]
[4.98215337 4.83197351 4.83103349 4.94932795]   [0.51292389 0.50095353 0.379656   0.37284321]
[5.26219298 5.25466692 5.11031179 5.18220716]   [5.63058251 5.73159473 5.71394303 5.62444308]
[7.98113489 7.83601312 7.86003192 7.9927528 ]   [4.22047244 4.18944978 4.05912957 4.09448819]
[4.41837517 4.39042222 4.48897783 4.53501622]   [0.46409167 0.33130862 0.30612145 0.39776918]
[7.79399682 7.88976378 7.76377953 7.69622612]   [5.97172884 6.09083815 6.13035573 6.04394652]
[5.11031179 5.1128799  4.9810347  4.95546048]   [5.71394303 5.86240213 5.89006509 5.76613038]
[7.84519067 7.71931462 7.70381396 7.83352199]   [4.84953387 4.8559828  4.7339253  4.7254127 ]
[1.43150153 1.4475099  1.53105853 1.53819299]   [2.87581019 2.79423781 2.77642198 2.89517611]
[0.2519685  0.33828787 0.20060398 0.12598425]   [-0.15876902  0.0057605   0.05711663 -0.07938451]
