[2166  966 1371 1937]
[ 520 1214 1339  333]
[1597 1502 1283 1706]
[1198 1903 1092  408]
[2062 1428   -1  225]
[338 301 396 374]
[2119 1556 1360  545]
[ 826 1207 2316 1916]
[1253 1198  314  357]
[1155 1800 1325  534]
[ 479 1410 1963  126]
[1472 1517  426  390]
[1323 1352 1521 1507]
[ 340 1480 1726 2052]
[1380 1448 1103  180]
[1170  361 1443  340]
[1394 1103 1542  359]
[1307  425  444 1230]
[1915   55 1504 1553]
[ 345  253  461 1065]
[1830  442  501  525]
[ 822 1411 1237  556]
[ 170 1120 1271  352]
[ 388 1092  459 1210]
[  79 1867 2200 1720]
[ 343 1341  336  878]
[1011 1101  513  453]
[1022  468  598 1217]
[1074 1167  574  524]
[777 739 305 556]
[1320 2011  424 1430]
[1845   26 1805   -1]
[ 976 1402 1499  428]
[1396  480 1065 1180]
[ 434  429 1240  938]
[ 632 1389 1116 1226]
[ 365  317 1378  636]
[383 703 371 201]
[ 368 1217  598  829]
[2343   86 1430  415]
[1479 2082 1155  402]
[ 396 1349  466  374]
[ 96 530 486 508]
[ 431  341  417 1122]
[457 534 419 434]
[1814 1023 1125  571]
[ 428 1236 1538  355]
[ 436 2009 1635 1574]
[1317 1505 1257  703]
[429 419 454 223]
[1402  976  179 1264]
[1515  432 1094 1284]
[ 512  513 1101 1194]
[  22  139  489 1657]
